,drugstore,street,number,neighborhood,city,zip_code,latitude,longitude
0,ACAPULCO 1,GUERRERO,ED A,PROGRESO,ACAPULCO DE JUAREZ,39350,16.86016,-99.90353
1,ACAPULCO 10,RUIZ CORTINEZ,8,ALTA PROGRESO,ACAPULCO DE JUAREZ,39610,16.87317,-99.89115
2,ACAPULCO 11,GRAN VIA EL COLOSO,LT 10,LA ESPERANZA,ACAPULCO DE JUAREZ,39610,16.84682,-99.81231
3,ACAPULCO 13,LAZARO CARDENAS,36,LAS CRUCES,ACAPULCO DE JUAREZ,39902,16.88586,-99.83698
4,ACAPULCO 14,CUAUHTEMOC,129,PROGRESO,ACAPULCO DE JUAREZ,39350,16.85863,-99.89725
5,ACAPULCO 17,EX EJIDO DE SANTA CRUZ,70 Y 71,EX EJIDO DE SANTA CRUZ,ACAPULCO DE JUAREZ,39530,16.86327,-99.90348
6,ACAPULCO 19,DURANGO L B COND DURANGO,2DASECCION,PROGRESO,ACAPULCO DE JUAREZ,39350,16.86561,-99.89405
7,ACAPULCO 2,JOSE LOPEZ PORTILLO,KM-393-394,LIBERTADORES,ACAPULCO DE JUAREZ,39770,16.8943,-99.83355
8,ACAPULCO 21,CUAUHTEMOC,43-C,ACAPULCO DE JUAREZ CENTRO,ACAPULCO DE JUAREZ,39300,16.85372,-99.90617
9,ACAPULCO 22,COSTERA M. ALEMAN,S/N,FRACCIONAMIENTO MAGALLANES,ACAPULCO DE JUAREZ,39670,16.86064,-99.8817
10,ACAPULCO 23,CUAUHTEMOC,13,ACAPULCO DE JUAREZ CENTRO,ACAPULCO DE JUAREZ,39300,16.85148,-99.90702
11,ACAPULCO 24,JOSE LOPEZ PORTILLO,LT 15,EXCAMPO DE TIRO,ACAPULCO DE JUAREZ,39422,16.87517,-99.87584
12,ACAPULCO 27,VICENTE GUERRERO,S/N,RENACIMIENTO,ACAPULCO DE JUAREZ,39715,16.89477,-99.83262
