,num_boleta,nombre,sexo,fecha_nacimiento,estatus_candidatura,url_cv,url_foto,descripcion,vision_jurisdiccional,vision_impjusticia,propuesta1,propuesta2,propuesta3
0,01,AGUIRRE BONILLA OLIVIA,M,,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_14.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/14.jpg,Porque creo que a través de este espacio puedo incidir en que la justicia llegue a todas y todos los mexicanos por igual,"Que la función jurisdiccional se respete y honre como una encomienda pública y un proyecto de vida, desde el humanismo mexicano para la construcción de una sociedad más justa e igualitaria.","Que la impartición de justicia esté guiada por los principios de independencia, imparcialidad, integridad, corrección, igualdad, competencia y diligencia, esenciales para la protección efectiva de los derechos humanos y la correcta administración de la justicia.","Que las decisiones jurisdiccionales estén respaldadas con las distintas áreas del conocimiento científico, pues no todos los asuntos se pueden resolver desde el enfoque meramente legal.","Abrir las puertas de la Suprema Corte de Justicia de la Nación al pueblo de México para que puedan presenciar lo que la Corte está decidiendo sobre los asuntos que le impactan a la sociedad mexicana por lo que se propone sesionar una vez al mes en las distintas entidades federativas, de esta manera la Suprema Corte se acerca al pueblo de México.","Se propone que las resoluciones que emita la Suprema Corte Justicia de la Nación tengan un lenguaje sencillo y coloquial, de tal forma que cualquier persona entienda el impacto y beneficio que tienen en su vida diaria. Además de la divulgación constante al pueblo de sus derechos humanos y qué hacer en caso de que no se les respeten."
1,02,ALADRO ECHEVERRIA REBECA STELLA,M,1957-06-24,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_3.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/3.jpg,"Busco impulsar y fortalecer una justicia más humana, accesible y cercana a las necesidades sociales.","La función jurisdiccional es una tarea dinámica y flexible que va más allá de emitir sentencias. Debe ser imparcial, transparente, accesible y eficiente, equilibrando la ley con la protección de los derechos humanos. Para ello resulta clave que los operadores jurídicos cuenten con el conocimiento y las habilidades para ser auténticos agentes de cambio que busquen agilizar procesos mediante el uso de la tecnología y la oralidad, evitando el uso del juicio de amparo solo para dilatar la justicia.","La impartición de justicia debe ser visible a través de decisiones judiciales debidamente motivadas, claras y fundamentadas, cuyo resultado final sea el aumento de la confianza y seguridad de los ciudadanos en el sistema de justicia. No solo debe castigar, sino transformar, ser inclusiva, enfocada en la paz y la integración de toda la sociedad. Trabajaremos para que se convierta en realidad que todo aquel que sufra una violación a sus derechos humanos, reciba una atención oportuna y eficaz.","Promoveré una dinámica de puertas abiertas, al integrar un equipo multidisciplinario altamente capacitado, encargado de escuchar y analizar las necesidades y problemáticas de la ciudadanía. Nuestro equipo contará con los conocimientos, habilidades y aptitudes necesarias para identificar con precisión el área correspondiente para su canalización y de esta manera, poder brindarles una atención rápida y acorde a cada situación, garantizando así un acceso ágil, efectivo y con sentido humano.","La capacitación continua deber ser un pilar fundamental en la formación de los funcionarios judiciales, por lo que participaré, junto con mi equipo de trabajo en programas sobre inteligencia digital y cursos integrales que aborden temas claves como lenguaje ciudadano y atención a grupos vulnerables, que nos permita estar preparados para emitir decisiones judiciales no solo técnicamente correctas, sino también justas, inclusivas y sensibles a la realidad social.","Para fortalecer la confianza pública en el sistema judicial y asegurar un ejercicio justo y equitativo de la función jurisdiccional, promoveré el estudio y análisis de los procedimientos en el juicio de amparo, en el que buscaré que dichos juicios sean ágiles, cercanos a las y los justiciables, que se promuevan sin formalidades especiales, buscando la oralidad y evitando que sean utilizados para un eminente retardo de la justicia."
2,03,BATRES GUADARRAMA LENIA,M,1969-07-09,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_4103.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/4103.jpg,Para servir al pueblo. El servicio público debe solucionar los problemas que impiden el ejercicio de derechos.,"Esta función del Estado, dirigida a garantizar la aplicación de la ley en los casos en que una persona o un colectivo considera violentados sus derechos, debe proteger principalmente los derechos humanos, empezando por los derechos sociales. Las personas juzgadoras deben dejar de verse como funcionarias de élite nombradas por mérito individual. Tienen que asumirse como personas servidoras públicas capaces de cumplir su función conforme a la ley, con humildad, honradez y vocación de servicio.","La impartición de justicia debe garantizar el cumplimiento de la norma con apego a la Constitución; debe entender los actos y hechos que se juzgan conforme al contexto social en que ocurren; debe distinguir las condiciones de desigualdad entre las partes en conflicto; debe ajustarse a la letra de la ley y, en caso de duda o necesidad de interpretación, resolver en favor del más débil, y debe tener como horizonte el ejercicio de los derechos humanos, iniciando por los derechos sociales.","Justicia social. Nadie puede ejercer derechos y libertades individuales si no tiene resueltas sus necesidades básicas. El Poder Judicial debe contribuir a combatir la principal injusticia de la sociedad: la desigualdad. Debe formular criterios jurisdiccionales que coadyuven a garantizar los derechos económicos, sociales y culturales: educación, salud, vivienda, alimentación, agua, trabajo, seguridad social, cultura y medio ambiente sano, en armonía con las facultades de los otros poderes.","Acceso a la justicia. Organización de defensorías públicas, comisiones de derechos humanos y procuradurías en la defensa y representación de la ciudadanía en general para garantizar que toda persona tenga la posibilidad de denunciar o defenderse en juicio. Articular en el Poder Judicial instrumentos pedagógicos y formularios accesibles para permitir la actuación de la ciudadanía en los juicios o alguna de sus etapas en que sea posible. En las sentencias, privilegiar el fondo sobre la forma.","Austeridad. Apego a la obligación de administrar los recursos del Poder Judicial con eficiencia, eficacia, economía, transparencia y honradez. Priorizar el uso del presupuesto en el adecuado servicio de justicia, tanto en infraestructura para atender al público, como en el desarrollo de instrumentos que faciliten su acceso. Apego a la obligación de otorgar remuneraciones adecuadas y proporcionales conforme al límite constitucional. Erradicar abusos y privilegios para titulares y alta burocracia."
3,04,BONILLA GARCIA JAZMIN,M,1984-07-04,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_4.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/4.jpg,Mi anhelo como abogada es ser ministra. Creo en que las personas merecen tener jueces que les escuchen y hagan justicia.,"La función jurisdiccional es esencial en cualquier Estado, pues tiene como propósito restablecer el orden y la paz sociales en las diferencias y controversias que surjan entre ciudadanos, pero más importante aún: entre la ciudadanía y las autoridades. Nuestro país merece personas juzgadoras preparadas para dar solución a los problemas que le aquejan, listas para escuchar la pluralidad de voces y atender a las demandas de justicia, que en muchos casos se acompañan de la esperanza que depositan","Siempre he pensado que la impartición de justicia debe ser accesible, lo que exige esfuerzo en la elaboración de sentencias en un lenguaje sencillo que permita a las personas tener pleno conocimiento de las razones por las que ganó o perdió el juicio. Como ministras, tenemos la enorme responsabilidad de resolver casos de gran trascendencia para el país, con un impacto en lo económico, social, cultural y político, por ello es importante que nuestras sentencias sean claras y bien argumentadas.","El mundo se ha transformado, las tecnologías de la información han impactado en prácticamente todos los aspectos de nuestra vida y la justicia es uno de ellos. Debemos dejar atrás los obstáculos técnicos que impiden el acceso a la justicia. Como personas juzgadoras debemos ser conscientes de la necesidad de que la justicia sea pronta y clara. Por eso se deben implementar nuevas tecnologías de la información para la difusión de la sentencia, la tramitación de los expedientes y el contacto social.","Necesitamos una justicia abierta: que escuche. Es fundamental abrir el diálogo a diversos operadores jurídicos en los denominados casos difíciles. El Poder Judicial debe entender que para resolver ciertos juicios se deben tomar en cuenta diversos factores y elementos de la realidad que van más allá de lo que una norma puede prever. En estos casos debemos escuchar las voces de quienes día a día viven ese problema, para tener un verdadero contexto de la situación y lograr una solución eficiente.","He desarrollado mi carrera profesional en el Poder Judicial. Por eso sé que se necesitan protocolos efectivos que generen ambientes de trabajo libres de prácticas de acoso sexual y laboral, jornadas de trabajo dignas y efectivas, sensibilidad respecto de las madres trabajadoras. Es de vital importancia generar condiciones que permitan a quienes colaboran con las personas juzgadoras, estudiar adecuadamente los expedientes. Se requiere eficientar las horas de trabajo que se pasan en las oficinas."
4,05,CASTAÑEDA PEREZ MARISOL,M,1977-11-10,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_5.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/5.jpg,Para ser la voz de aquellos que no son escuchados y garantizar políticas que reflejen las necesidades de todos.,"Como persona juzgadora, entiendo que mi labor requiere de una visión ética, humanitaria y consciente de las realidades sociales que nos rodean. Por ello, mi visión de la función jurisdiccional es la de un proceso dinámico, orientado a promover la justicia de manera integral, teniendo en cuenta el contexto social, humano y ético de cada caso. Es una función que exige sensibilidad, responsabilidad y un profundo compromiso con el bienestar de la sociedad.","La justicia debe ser impartida con imparcialidad, integridad y respeto a los derechos fundamentales de todas las personas. Debe ser accesible y dinámica, de manera que ninguna persona se sienta excluida del derecho a ser escuchada o de obtener una resolución imparcial. Por ello, como agentes de este proceso, debemos cumplir nuestra labor con integridad, una visión clara y el compromiso de siempre buscar el bien común y que la verdad fáctica coincida con la verdad legal.","Compromiso con la justicia, equidad, confianza ciudadana y los derechos humanos. Asegurar que cada decisión tomada por la Corte se alinee con la protección y promoción de los derechos fundamentales de todas las personas, sin distinción de género, origen, ideología o condición social.","Promoción de la equidad de género y la inclusión. Garantizar que las decisiones de la Corte consideren la perspectiva de género y los derechos de todos los grupos vulnerables, promoviendo una justicia más inclusiva y justa para todos los sectores de la población.","Fortalecimiento de la confianza ciudadana en el sistema judicial, implementando una justicia abierta Actuar con integridad, promoviendo procesos judiciales que sean transparentes y que permitan a la ciudadanía conocer y entender las razones detrás de cada resolución tomada por la Corte. Trabajaré por una justicia que esté abierta al escrutinio público, que sea transparente, accesible y, sobre todo, que responda a las necesidades y aspiraciones de todas y todos los mexicanos."
5,06,CRUZ ALCALA SELENE,M,1985-10-02,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_8.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/8.jpg,Es hora de renovar nuestras instituciones con personas comprometidas y con verdadera vocación de servicio público.,"La función jurisdiccional es el acto por el cual el Poder Judicial protege derechos, reconoce realidades y restituye lo que ha sido vulnerado. La función jurisdiccional transformadora debe cumplir con tres principios esenciales: Debe ser humana, oportuna y transformadora. Para que la función jurisdiccional sea efectiva, debe estar alejada de la corrupción y contar con personas juzgadoras independientes de los otros poderes públicos y económicos, para poder resolver de manera imparcial.","Visualizo una nueva justicia en México. Por eso, mi visión es clara: el derecho debe ser una herramienta para proteger, no para excluir. Para cerrar brechas, no para ampliarlas. Una justicia con perspectiva de género, intercultural y sensible a la desigualdad. Quiero contribuir a construir una SCJN que garantice derechos de manera efectiva, especialmente a quienes históricamente han sido olvidados. Esa es mi visión, una justicia viva, humana y cercana. Una justicia que sirva para vivir mejor.","Justicia cercana, humana y que escuche directamente a las personas. La justicia debe estar al alcance de todas las personas, no detrás de escritorios o papeleo interminable. Propongo una justicia de barandilla: accesible, sin intermediarios, donde las personas juzgadoras escuchen directamente a quienes buscan soluciones. Resolver con empatía, entendiendo cada historia y contexto individual y social, sin formalismos que retrasen lo urgente.","Justicia sencilla, comprensible y útil para la vida cotidiana. El lenguaje jurídico no debe ser un muro. Planteo simplificar los procesos y garantizar que toda persona pueda entender qué pasa con su asunto, sin necesidad de intérpretes legales. La justicia debe hablar claro, actuar pronto y resolver humanamente. El poder judicial debe dejar atrás los privilegios y servicios de lujo que lo han alejado de la sociedad.","Justicia con mirada de mujer y corazón de pueblo. Ninguna sentencia es justa si no toma en cuenta las desigualdades que atraviesan a una mujer, una niña o una persona indígena. Propondré que toda resolución integre perspectiva de género, contexto social y respeto a los sistemas normativos de los pueblos originarios."
6,07,ESCUDERO MENDOZA SILVIA,M,1969-08-01,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_15.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/15.jpg,"Porque la justicia debe ser cercana, humana, honesta y su acceso debe estar garantizado a todas las personas por igual.","El verdadero sentido de la función jurisdiccional está en resolver los conflictos de las personas de manera justa, cercana, honesta, efectiva, accesible y oportuna, garantizando los derechos fundamentales de las personas; no puede entenderse como una tarea aislada, técnica o deshumanizada. Debe ejercerse desde una perspectiva social y visión restaurativa, con responsabilidad, independencia y sensibilidad, entendiendo que detrás de cada expediente hay una historia, una persona, una necesidad.","Ante un sistema jurídico lejano, complicado y excluyente, mi visión es una justicia más humana: accesible, cercana. Creo en un modelo de impartición de justicia que apueste a la prevención, a la atención de las causas, a la reparación del daño y el cuidado emocional de las personas. Una justicia que restaure, que prevenga, que cuide a las infancias, que proteja a las víctimas, que repare daños, que recupere la confianza, no solo con sentencias, sino con procesos claros, dignos y transformadores.","Fortalecer la independencia judicial con conciencia social, garantizando resoluciones justas y autónomas, pero también empáticas y contextualizadas. Cuidar el proceso emocional de quienes buscan justicia, especialmente mujeres, niñas, niños y adolescentes, adultos mayores, personas con discapacidad y de todas las personas en situación de vulnerabilidad, promoviendo espacios de escucha, procesos equilibrados, libres de toda discriminación, humanos y restaurativos.","Impulsar la justicia restaurativa, que el objetivo no sea únicamente el resolver un conflicto, sino que se atiendan las causas, se reparen daños y se reconstruya el tejido social. Consolidar un sistema penal no punitivita sino restaurativo, que se repare el daño, lograr prevenir, sólo así se podrá garantizar el estado de bienestar e igualdad para todas las personas. Reducir formalismos innecesarios, simplificando procesos para que todas las personas puedan acceder a la justicia.","Que en el garantizar el acceso a la justicia, se fortalezcan los Medios Alternativos de Solución de Controversias que, además de solucionar conflictos de forma ágil, económica y humana, permiten el diálogo, la empatía, la colaboración. Estoy convencida de que una justicia transformadora no es la que se impone, sino la que se construye y eso se logra escuchando, empatizando, cuidando. Buscar que en los conflictos se atiendan necesidades, que todos ganen. Si una de las partes gana, todos perdemos."
7,08,ESQUIVEL MOSSA YASMIN,M,1963-09-15,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_4104.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/4104.jpg,Servir a las y los mexicanos con compromiso para transformar la justicia y garantizar su acceso efectivo a todas y todos,"Una impartición de justicia que garantice un acceso efectivo para todas las personas, sin sesgo alguno, con una perspectiva de derechos humanos y especial atención a quienes más la necesitan. Lo que demanda, no solo una vocación de servicio, sino también un desempeño imparcial, objetivo y profesional. Mi compromiso es integrar un poder independiente y autónomo, que se transforme en beneficio de las personas: México requiere una justicia cercana al pueblo; una justicia para todas y todos.","La verdadera justicia radica en que todas las personas accedan a ella efectivamente: tribunales abiertos que escuchen a las partes, juzgadoras y juzgadores que garanticen los derechos humanos sin sesgos ni preferencias. Una justicia que no ceda ante el poder o el dinero, pronta, que no tolere nepotismo, corrupción o impunidad. México necesita tribunales austeros, transparentes, con paridad de género y democráticos. El pueblo debe recuperar la confianza en las y los operadores de justicia.","Fortalecer la formación continua de las y los operadores de justicia, dotándolos de herramientas para enfrentar desafíos actuales y garantizar su actuar con total transparencia y responsabilidad; promoviendo una cultura de desempeño en el Poder Judicial con una mística de servicio a la sociedad, priorizando a las víctimas y evitando abusos de poder. Así se asegurará un sistema profesional, ético y comprometido con la justicia y el bienestar social.","Modernizar infraestructuras y agilizar procesos en el sistema judicial, asegurando que cada decisión y actuación cumpla con los más altos estándares éticos, para fortalecer mecanismos de transparencia y rendición de cuentas que consoliden la confianza en la justicia. Para construir un sistema que realmente sirva a los intereses de la población, garantizando acceso equitativo a la justicia y fortaleciendo el tejido social para lograr un mayor bienestar.","Construir una justicia que inspire confianza y sea aliada de la sociedad, garantizando libertades, bienestar y desarrollo equitativo; promoviendo la participación ciudadana mediante el diálogo y cooperación entre los actores del sistema. Es necesario promover un Poder Judicial con un alto compromiso social, que sirva a la sociedad y en especial a las víctimas del delito, asegurando que la justicia contribuya a un futuro de mayor seguridad y equidad."
8,09,ESTRADA TENA FABIANA,M,1976-01-15,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_16.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/16.jpg,"Quiero ser parte de quienes encabezarán la transformación de la justicia en México, para hacerla más humana y sensible.","La función jurisdiccional deber ser un instrumento para la igualdad y la no discriminación. A través de ella deben derribarse barreras, corregirse desequilibrios y alcanzarse resultados justos. Esto implica una interpretación del derecho que priorice la justicia sustantiva, buscando soluciones equitativas, que reflejen los valores y aspiraciones de una sociedad en constante cambio. Solo juzgando con perspectiva social, puede garantizarse el acceso a la justicia y la efectividad de los derechos.","La justicia es un derecho, no un privilegio. Esto significa que debe ser para todas las personas y no para unas cuantas. Para ello es necesaria una visión social de la justicia orientada a cerrar las brechas de desigualdad y a garantizar un acceso igualitario al sistema jurídico. Es necesario asegurar que todas las personas, independientemente de su origen o situación económica, puedan satisfacer sus necesidades básicas y acceder a las oportunidades en igualdad de condiciones y con dignidad.","La reforma judicial debe interpretarse a la luz del contexto histórico, político y social que le da origen. No se trata solo de cambiar a las personas, sino de cambiar a las instituciones para transformar la justicia. ¿Qué justicia queremos entonces? Propongo construir la idea de una justicia humanista, entendida como una justicia honesta, comprometida con una visión social y con una perspectiva de igualdad y no discriminación. Una justicia cercana, que escucha, que entiende y que resuelve.","Para enfrentar los grandes problemas de nuestro país es necesario un diálogo institucional que respete la división de poderes y fomente la colaboración, con el objetivo común de servir al interés público. Para ello deben instalarse mesas de trabajo y foros interinstitucionales que permitan detectar necesidades, intercambiar ideas y experiencias. Además, debe promoverse un intercambio regular de información y reportes, De igual manera deben emprenderse esfuerzos conjuntos de capacitación.","¿Cómo acercar la justicia a las personas? Involucrándolas en el proceso. Además de las audiencias públicas que pueden solicitar las partes, conforme a la Ley Orgánica, la Corte debe ordenar de oficio la celebración de audiencias: 1) con las partes, para dilucidar cuestiones jurídicas complejas necesarias para la resolución del problema jurídico; 2) para incorporar evidencia científica; 3) para allegarse de elementos sobre el contexto; 4) para dar seguimiento al cumplimiento de las resoluciones."
9,10,FUENTES JIMENEZ ESTELA,M,1960-05-13,vigente,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/cv/CV_20.pdf,https://candidaturaspoderjudicial.ine.mx/cycc/img/fotocandidato/20.jpg,"Tengo el perfil profesional, académico, experiencia y comprometida con la transformación del Poder Judicial al servicio.","Es necesario que los juzgadores seamos sensibles y cercanos con la gente, con el pueblo, con los justiciables; es necesario que la gente tenga un contacto más directo con quienes vamos a desarrollar la función de juzgar. Una justicia debe ser transparente, la justicia debe ser pública, de puertas abiertas, para que la ciudadanía tenga conocimiento sobre qué hacemos los juzgadores. Sobre todo, que sea directamente el pueblo quien evalúe nuestras trayectorias, experiencia y resultados.","El objetivo de la justicia es buscar el bien común, es el eje principal de los derechos humanos. El juez debe ser poseedor de principios y valores tales como: la independencia, imparcialidad, objetividad, profesionalismo, excelencia.",Acercar a la justicia con la ciudadanía e impartir justicia pronta y eficaz.,Resolver con perspectiva de género y en beneficio de los derechos humanos e impartir justicia para proteger los intereses de los más necesitados.,"Resolver, siempre con un lenguaje cotidiano, para que las sentencias sean claras y al alcance de todos."
